"Event Date/Time","Agent Name","Hostname","Agent Type","IP Address","Event Type","Description","Severity","Event Priority","Disposition","Agent Version","OS Version","Event Count","Event Duration","Post Date/Time","Rule Name","User Name","Domain Name","Policy Overridden","Operation","Resource","Process","Process Publisher","Process Signature"
"25-May-2021 00:07:29 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Modification Denied for (WMIPRVSE.EXE) on (C:\WINDOWS\SYSTEM32\WINLOGON.EXE).","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:07:30 EDT","","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\WINLOGON.EXE","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for WMIAPSRV.EXE on C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","Warning","45","Denied","6.5.0.470","Windows","2","","25-May-2021 00:07:30 EDT","i.OC","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","C:\WINDOWS\SYSTEM32\WBEM\WMIAPSRV.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for WMIAPSRV.EXE on C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:07:30 EDT","i.OC","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","C:\WINDOWS\SYSTEM32\WBEM\WMIAPSRV.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for WMIAPSRV.EXE on C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","Warning","45","Denied","6.5.0.470","Windows","2","     00:00:00","25-May-2021 00:07:30 EDT","i.OC","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","C:\WINDOWS\SYSTEM32\WBEM\WMIAPSRV.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for WMIAPSRV.EXE on C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:07:30 EDT","i.OC","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\Windows\system32\wbem\Performance\WmiApRpl_new.ini","C:\WINDOWS\SYSTEM32\WBEM\WMIAPSRV.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Modification Denied for (WMIPRVSE.EXE) on (C:\WINDOWS\SYSTEM32\SVCHOST.EXE).","Warning","45","Denied","6.5.0.470","Windows","29","","25-May-2021 00:07:30 EDT","","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:07:28 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Modification Denied for (WMIPRVSE.EXE) on (C:\WINDOWS\SYSTEM32\WINLOGON.EXE).","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:07:30 EDT","","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\WINLOGON.EXE","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:07:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\NcbService\NCB\KAHints","Warning","45","Denied","6.5.0.470","Windows","1","     00:00:00","25-May-2021 00:07:30 EDT","i.OV","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreatekey","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\NcbService\NCB\KAHints","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:07:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\System\CurrentControlSet\Services\NcbService\NCB\KAHints","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:07:09 EDT","i.OV","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreatekey","\REGISTRY\MACHINE\System\CurrentControlSet\Services\NcbService\NCB\KAHints","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:06:18 EDT","SDCSS Manager (DCS26)","dcs26","CSP Manager","192.168.66.27","Server Status","Disk space status is Green. Disk space for < Primary Data >,  < Real-Time Events >,  < Analysis/Profile Events >,  < Events Index >,  < Cache >,  < DB Transaction Log > is not available","Information","10","","6.5.0.470","Windows","1","","25-May-2021 00:06:18 EDT","Free Database Disk Space Alert","","","Virtual Agent","FREE DATABASE DISK SPACE","","SCSP Database service","",""
"25-May-2021 00:06:05 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Assignment","Process Assignment for CMD.EXE to deny_ps","Warning","45","","6.5.0.470","Windows","1","     00:00:00","25-May-2021 00:06:09 EDT","Programs that services should not execute:i.RA","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","create","C:\Windows\system32\cmd.exe /d /c C:\Windows\system32\silcollector.cmd configure","C:\WINDOWS\SYSTEM32\CMD.EXE","","Microsoft OS Component"
"25-May-2021 00:06:05 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Assignment","Process Assignment for CMD.EXE to deny_ps","Warning","45","","6.5.0.470","Windows","1","","25-May-2021 00:06:07 EDT","","NT AUTHORITY\SYSTEM","","","Execute","","C:\WINDOWS\SYSTEM32\CMD.EXE","","Unsigned"
"25-May-2021 00:05:46 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for VMTOOLSD.EXE on \Registry\Machine\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:49 EDT","i.OC","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtOpenKey","\Registry\Machine\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib","C:\PROGRAM FILES\VMWARE\VMWARE TOOLS\VMTOOLSD.EXE","VMware, Inc.","Signed and Trusted "
"25-May-2021 00:05:27 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Modification Denied for (WMIPRVSE.EXE) on (C:\WINDOWS\SYSTEM32\SVCHOST.EXE).","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:28 EDT","","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:05:27 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SPOOLSV.EXE on \REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Control\WMI\AutoLogger\SpoolerLogger","Warning","45","Denied","6.5.0.470","Windows","1","     00:00:00","25-May-2021 00:05:28 EDT","","NT AUTHORITY\SYSTEM","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Control\WMI\AutoLogger\SpoolerLogger","C:\WINDOWS\SYSTEM32\SPOOLSV.EXE","","Microsoft OS Component"
"25-May-2021 00:05:27 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SPOOLSV.EXE on \REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:28 EDT","","NT AUTHORITY\SYSTEM","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print","C:\WINDOWS\SYSTEM32\SPOOLSV.EXE","","Microsoft OS Component"
"25-May-2021 00:05:27 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Modification Denied for (WMIPRVSE.EXE) on (C:\WINDOWS\SYSTEM32\WINLOGON.EXE).","Warning","45","Denied","6.5.0.470","Windows","180","     00:00:01","25-May-2021 00:05:49 EDT","","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\WINLOGON.EXE","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:05:16 EDT","SDCSS Manager (DCS26)","dcs26","CSP Manager","192.168.66.27","Server Status","Startup SCSP Front-End Service on dcs26 (192.168.66.27)","Information","1","","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","Startup SCSP Front-End Service","","","Virtual Agent","STARTUP","","SDCSS Service","",""
"25-May-2021 00:05:16 EDT","SDCSS Manager (DCS26)","dcs26","CSP Manager","192.168.66.27","Server Status","Alert System Control established on dcs26 (192.168.66.27)","Information","1","","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","Alert Control","","","Virtual Agent","ALERT CONTROL","","SDCSS Service","",""
"25-May-2021 00:05:14 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for MPCMDRUN.EXE on C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Temp\mpam-ff8c333e.exe","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT",":i.IE","NT AUTHORITY\NETWORK SERVICE","","Windows Service Process/Sub-Process","NtCreateFile","C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Temp\mpam-ff8c333e.exe","C:\PROGRAM FILES\WINDOWS DEFENDER\MPCMDRUN.EXE","","Microsoft Signed "
"25-May-2021 00:05:13 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Limited Access Denied for (MSMPENG.EXE) on (C:\WINDOWS\SYSTEM32\LSASS.EXE).","Warning","45","Denied","6.5.0.470","Windows","2","     00:00:00","25-May-2021 00:05:18 EDT","Application data deny process access to lsass:i.AN;lsass","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\LSASS.EXE","C:\PROGRAM FILES\WINDOWS DEFENDER\MSMPENG.EXE","","Microsoft Signed "
"25-May-2021 00:05:13 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Limited Access Denied for (MSMPENG.EXE) on (C:\WINDOWS\SYSTEM32\LSASS.EXE).","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT","Application data deny process access to lsass:i.AN;lsass","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\LSASS.EXE","C:\PROGRAM FILES\WINDOWS DEFENDER\MSMPENG.EXE","","Microsoft Signed "
"25-May-2021 00:05:12 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for WMIPRVSE.EXE on \Device\Harddisk0\DR0","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT","i.OD","NT AUTHORITY\NETWORK SERVICE","","Windows Service Process/Sub-Process","NtCreateFile","\Device\Harddisk0\DR0","C:\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE","","Microsoft OS Component"
"25-May-2021 00:05:08 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Detection Status","FWC_0033: File Collector configuration finalized: 0 watched files 2 watched log files. Total number of files is: 2. The File Collector files limit is: 25(k).","Information","0","","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT","FWC_0033","","","","","","Filewatch Collector","",""
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Agent Status","Starting Symantec Data Center Security Server Service 6.5.0.470","Information","19","Success","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT","","","","","Startup","","MainThread","",""
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for MSMPENG.EXE on C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Updates\mpengine.dll","Warning","45","Denied","6.5.0.470","Windows","3","     00:00:00","25-May-2021 00:05:18 EDT",":i.IE","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Updates\mpengine.dll","C:\PROGRAM FILES\WINDOWS DEFENDER\MSMPENG.EXE","","Microsoft Signed "
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for MSMPENG.EXE on C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Updates\mpengine.dll","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT",":i.IE","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Updates\mpengine.dll","C:\PROGRAM FILES\WINDOWS DEFENDER\MSMPENG.EXE","","Microsoft Signed "
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Access","Process Limited Access Denied for (MSMPENG.EXE) on (C:\WINDOWS\SYSTEM32\LSASS.EXE).","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:18 EDT","Application data deny process access to lsass:i.AN;lsass","NT AUTHORITY\SYSTEM","","","OpenProcess","C:\WINDOWS\SYSTEM32\LSASS.EXE","C:\PROGRAM FILES\WINDOWS DEFENDER\MSMPENG.EXE","","Microsoft Signed "
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Detection Status","IA_0023: Symantec IDS Service has started","Information","0","","6.5.0.470","Windows","1","","25-May-2021 00:05:14 EDT","IA_0023","","","","","","Main Module","",""
"25-May-2021 00:05:07 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Detection Status","FWC_0028: Real-Time File Integrity Monitoring successfully initialized.","Information","0","","6.5.0.470","Windows","1","","25-May-2021 00:05:14 EDT","FWC_0028","","","","","","Filewatch Collector","",""
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Assignment","Process Assignment for CMD.EXE to deny_ps","Warning","45","","6.5.0.470","Windows","1","     00:00:00","25-May-2021 00:05:18 EDT","Programs that services should not execute:i.RA","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","create","C:\Windows\system32\cmd.exe /c  "C:\Program Files\VMware\VMware Tools\poweron-vm-default.bat" ","C:\WINDOWS\SYSTEM32\CMD.EXE","","Microsoft OS Component"
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Process Assignment","Process Assignment for CMD.EXE to deny_ps","Warning","45","","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","","NT AUTHORITY\SYSTEM","","","Execute","","C:\WINDOWS\SYSTEM32\CMD.EXE","","Unsigned"
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for VMTOOLSD.EXE on C:\hiberfil.sys","Warning","45","Denied","6.5.0.470","Windows","1","     00:00:00","25-May-2021 00:05:16 EDT",":i.IE","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\hiberfil.sys","C:\PROGRAM FILES\VMWARE\VMWARE TOOLS\VMTOOLSD.EXE","VMware, Inc.","Signed and Trusted "
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","File Access","File Write Denied for VMTOOLSD.EXE on C:\hiberfil.sys","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT",":i.IE","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtCreateFile","C:\hiberfil.sys","C:\PROGRAM FILES\VMWARE\VMWARE TOOLS\VMTOOLSD.EXE","VMware, Inc.","Signed and Trusted "
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","i.OV","NT AUTHORITY\SYSTEM","","Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Agent Status","Starting Symantec IPS Utility Service","Information","19","Success","6.5.0.470","Windows","1","","25-May-2021 00:06:09 EDT","","","","","","","Startup","",""
"25-May-2021 00:05:06 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\System\CurrentControlSet\Services\W32Time\Config","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","i.OV","NT AUTHORITY\LOCAL SERVICE","","Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\System\CurrentControlSet\Services\W32Time\Config","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:05:05 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SPOOLSV.EXE on \Registry\MACHINE\System\CurrentControlSet\Control\SafeBoot\Option","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","","NT AUTHORITY\SYSTEM","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtOpenKey","\Registry\MACHINE\System\CurrentControlSet\Control\SafeBoot\Option","C:\WINDOWS\SYSTEM32\SPOOLSV.EXE","","Microsoft OS Component"
"25-May-2021 00:05:05 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Services\MpsSvc\Parameters\AppCs","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","i.OV","NT AUTHORITY\LOCAL SERVICE","","Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\SYSTEM\CurrentControlSet\Services\MpsSvc\Parameters\AppCs","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:05:04 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\IdleService","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","","NT AUTHORITY\SYSTEM","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtOpenKey","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\IdleService","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:05:04 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Terminal Server\RCM","Warning","45","Denied","6.5.0.470","Windows","3","     00:00:00","25-May-2021 00:05:16 EDT","","NT AUTHORITY\NETWORK SERVICE","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtCreatekey","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Terminal Server\RCM","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
"25-May-2021 00:05:04 EDT","dcs_target_38","dcs_target_38","CSP Native Agent","192.168.66.38","Registry Access","Registry Write Denied for SVCHOST.EXE on \REGISTRY\MACHINE\System\CurrentControlSet\Control\Terminal Server\RCM","Warning","45","Denied","6.5.0.470","Windows","1","","25-May-2021 00:05:16 EDT","","NT AUTHORITY\NETWORK SERVICE","","Default Policy Rule Processed, Windows Service Process/Sub-Process","NtCreatekey","\REGISTRY\MACHINE\System\CurrentControlSet\Control\Terminal Server\RCM","C:\WINDOWS\SYSTEM32\SVCHOST.EXE","","Microsoft OS Component"
